time,resultDescription
2025-06-02T08:59:28.4046418Z,"2025-06-02 08:59:28,242 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T09:03:23.444113Z,"2025-06-02 09:03:23,440 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T09:05:49.6817373Z,"2025-06-02 09:05:49,681 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T09:16:03.4385811Z,"2025-06-02 09:16:03,437 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-06-02T09:55:55.1959658Z,"2025-06-02 09:55:55,165 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T10:26:03.0686771Z,"2025-06-02 10:26:02,922 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-02T10:26:46.6941485Z,"2025-06-02 10:26:46,694 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-02T10:31:52.1429606Z,"2025-06-02 10:31:52,141 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-02T10:48:07.6296052Z,"2025-06-02 10:48:07,579 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-02T11:04:58.2521967Z,"2025-06-02 11:04:58,189 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-02T12:28:19.2066572Z,"2025-06-02 12:28:19,172 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T12:32:28.7158085Z,"2025-06-02 12:32:28,715 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-02T12:50:56.6546801Z,"2025-06-02 12:50:56,640 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-02T13:16:45.5417383Z,"2025-06-02 13:16:45,521 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T13:18:06.7658027Z,"2025-06-02 13:18:06,765 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T14:27:53.6264901Z,"2025-06-02 14:27:53,601 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-02T14:28:21.6058525Z,"2025-06-02 14:28:21,605 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T15:10:12.066708Z,"2025-06-02 15:10:12,039 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T15:27:08.3089078Z,"2025-06-02 15:27:08,277 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-02T15:27:51.4274298Z,"2025-06-02 15:27:51,424 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T15:28:30.0592675Z,"2025-06-02 15:28:30,058 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T15:34:56.4774425Z,"2025-06-02 15:34:56,475 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-03T06:20:14.5961766Z,"2025-06-03 06:20:14,571 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T06:29:04.2991026Z,"2025-06-03 06:29:04,271 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T06:32:04.6545155Z,"2025-06-03 06:32:04,632 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T06:32:15.3965749Z,"2025-06-03 06:32:15,338 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-03T06:34:46.7611759Z,"2025-06-03 06:34:46,759 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-03T07:11:56.3075366Z,"2025-06-03 07:11:56,284 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-03T07:12:27.0446739Z,"2025-06-03 07:12:27,044 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-03T07:12:54.4748018Z,"2025-06-03 07:12:54,472 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-03T07:16:06.7332845Z,"2025-06-03 07:16:06,731 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-03T07:17:06.9583785Z,"2025-06-03 07:17:06,951 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-03T07:39:37.9553399Z,"2025-06-03 07:39:37,905 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
