"TimeGenerated [UTC]",ResultDescription
"11/8/2025, 4:43:58.452 PM","2025-11-08 16:43:58,452 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/8/2025, 11:23:18.417 AM","2025-11-08 11:23:18,401 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 7:45:25.802 AM","2025-11-26 07:45:25,802 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 7:58:55.490 AM","2025-11-26 07:58:55,490 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 8:27:20.499 AM","2025-11-26 08:27:20,498 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 9:35:43.316 AM","2025-11-26 09:35:43,316 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 9:40:36.830 AM","2025-11-26 09:40:36,830 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 9:53:43.019 AM","2025-11-26 09:53:43,019 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 10:00:33.046 AM","2025-11-26 10:00:33,046 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 10:15:10.755 AM","2025-11-26 10:15:10,755 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 10:17:06.375 AM","2025-11-26 10:17:06,374 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 11:35:05.741 AM","2025-11-26 11:35:05,741 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 1:46:42.440 PM","2025-11-26 13:46:42,439 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 8:48:20.502 AM","2025-11-26 08:48:20,502 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 8:48:58.717 AM","2025-11-26 08:48:58,717 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 7:38:22.945 AM","2025-11-26 07:38:22,945 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
"11/26/2025, 7:59:50.777 AM","2025-11-26 07:59:50,777 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 9:00:15.235 AM","2025-11-26 09:00:15,228 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 8:01:40.664 AM","2025-11-26 08:01:40,664 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 8:59:38.744 AM","2025-11-26 08:59:38,744 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 7:32:54.346 AM","2025-11-26 07:32:54,346 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 8:28:31.199 AM","2025-11-26 08:28:31,199 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 8:53:10.727 AM","2025-11-26 08:53:10,727 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 8:53:38.615 AM","2025-11-26 08:53:38,614 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 8:10:12.455 AM","2025-11-26 08:10:12,454 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 8:11:05.039 AM","2025-11-26 08:11:05,038 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
"11/26/2025, 9:14:17.441 AM","2025-11-26 09:14:17,440 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 9:14:54.511 AM","2025-11-26 09:14:54,510 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 10:29:38.155 AM","2025-11-26 10:29:38,154 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 9:28:24.900 AM","2025-11-26 09:28:24,900 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 11:16:34.867 AM","2025-11-26 11:16:34,867 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 12:43:42.548 PM","2025-11-26 12:43:42,548 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 2:30:59.470 PM","2025-11-26 14:30:59,470 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 3:53:54.161 PM","2025-11-26 15:53:54,161 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 8:14:32.323 AM","2025-11-26 08:14:32,322 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 8:14:57.894 AM","2025-11-26 08:14:57,894 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
"11/26/2025, 3:55:12.942 PM","2025-11-26 15:55:12,941 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 10:05:27.735 AM","2025-11-26 10:05:27,734 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 4:09:38.656 PM","2025-11-26 16:09:38,656 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 10:25:27.653 AM","2025-11-26 10:25:27,653 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 4:43:15.391 PM","2025-11-26 16:43:15,390 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 4:44:35.244 PM","2025-11-26 16:44:35,244 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 10:30:41.612 AM","2025-11-26 10:30:41,612 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 10:36:25.400 AM","2025-11-26 10:36:25,400 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 8:15:45.495 AM","2025-11-26 08:15:45,495 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
"11/26/2025, 10:49:12.988 AM","2025-11-26 10:49:12,987 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 8:39:39.070 AM","2025-11-26 08:39:39,069 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 8:46:27.366 AM","2025-11-26 08:46:27,366 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 8:47:28.014 AM","2025-11-26 08:47:28,013 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 11:22:10.130 AM","2025-11-26 11:22:10,130 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 8:50:28.256 AM","2025-11-26 08:50:28,255 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 8:51:24.811 AM","2025-11-26 08:51:24,811 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 1:00:08.762 PM","2025-11-26 13:00:08,762 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 9:05:33.510 AM","2025-11-26 09:05:33,509 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 1:48:03.430 PM","2025-11-26 13:48:03,430 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 9:10:12.467 AM","2025-11-26 09:10:12,467 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 2:32:29.167 PM","2025-11-26 14:32:29,167 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 10:14:26.173 AM","2025-11-26 10:14:26,173 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 10:41:27.825 AM","2025-11-26 10:41:27,824 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 11:06:02.601 AM","2025-11-26 11:06:02,601 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 12:14:50.959 PM","2025-11-26 12:14:50,959 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 12:15:46.720 PM","2025-11-26 12:15:46,720 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/26/2025, 12:59:59.506 PM","2025-11-26 12:59:59,506 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/26/2025, 3:59:24.197 PM","2025-11-26 15:59:24,196 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 7:11:29.282 AM","2025-11-17 07:11:29,268 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 7:41:15.939 AM","2025-11-17 07:41:15,939 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 7:42:06.898 AM","2025-11-17 07:42:06,897 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 8:01:23.641 AM","2025-11-17 08:01:23,640 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 8:03:42.270 AM","2025-11-17 08:03:42,269 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 8:05:08.592 AM","2025-11-17 08:05:08,592 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 8:07:32.201 AM","2025-11-17 08:07:32,201 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 8:08:25.367 AM","2025-11-17 08:08:25,366 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 8:23:05.584 AM","2025-11-17 08:23:05,584 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 8:43:44.050 AM","2025-11-17 08:43:44,049 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 8:47:10.495 AM","2025-11-17 08:47:10,488 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
"11/17/2025, 9:23:14.306 AM","2025-11-17 09:23:14,306 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 9:42:21.860 AM","2025-11-17 09:42:21,860 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 10:00:16.079 AM","2025-11-17 10:00:16,078 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 10:01:29.286 AM","2025-11-17 10:01:29,285 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 10:12:27.804 AM","2025-11-17 10:12:27,804 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"11/17/2025, 10:24:29.075 AM","2025-11-17 10:24:29,075 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 10:37:01.589 AM","2025-11-17 10:37:01,589 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
"11/17/2025, 10:42:36.087 AM","2025-11-17 10:42:36,087 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 10:43:16.641 AM","2025-11-17 10:43:16,641 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"11/17/2025, 10:51:51.663 AM","2025-11-17 10:51:51,662 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
