time,resultDescription
2025-07-01T11:12:12.9564975Z,"2025-07-01 11:12:12,956 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-01T11:13:48.7603387Z,"2025-07-01 11:13:48,754 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T11:21:36.308658Z,"2025-07-01 11:21:36,308 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-01T11:22:48.7600237Z,"2025-07-01 11:22:48,757 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T11:27:19.0977568Z,"2025-07-01 11:27:19,076 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T11:46:26.3536111Z,"2025-07-01 11:46:26,331 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T11:47:16.117851Z,"2025-07-01 11:47:16,110 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T11:50:53.2890687Z,"2025-07-01 11:50:53,284 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T11:54:15.5483597Z,"2025-07-01 11:54:15,548 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-01T11:54:42.0519592Z,"2025-07-01 11:54:42,051 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T12:13:37.1818525Z,"2025-07-01 12:13:37,151 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-07-01T12:14:16.5087206Z,"2025-07-01 12:14:16,506 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-07-01T12:14:44.9420146Z,"2025-07-01 12:14:44,936 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-01T12:16:25.262219Z,"2025-07-01 12:16:25,259 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T12:18:26.0374337Z,"2025-07-01 12:18:26,035 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-01T12:18:43.9455364Z,"2025-07-01 12:18:43,945 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T12:20:01.0270282Z,"2025-07-01 12:20:01,026 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T12:21:33.6301742Z,"2025-07-01 12:21:33,623 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T12:21:36.9811438Z,"2025-07-01 12:21:36,976 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T12:36:56.8620547Z,"2025-07-01 12:36:56,776 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-01T12:39:22.2852036Z,"2025-07-01 12:39:22,282 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-01T12:41:40.0649443Z,"2025-07-01 12:41:40,055 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T12:42:52.865564Z,"2025-07-01 12:42:52,859 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T12:43:02.0953042Z,"2025-07-01 12:43:02,076 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T12:49:23.3671111Z,"2025-07-01 12:49:23,362 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T13:01:33.959307Z,"2025-07-01 13:01:33,950 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T13:23:20.2431849Z,"2025-07-01 13:23:20,227 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-01T13:32:16.6932878Z,"2025-07-01 13:32:16,646 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T13:47:26.662464Z,"2025-07-01 13:47:26,611 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T13:57:26.7625845Z,"2025-07-01 13:57:26,762 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T14:08:50.1878287Z,"2025-07-01 14:08:50,183 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: default | Search Mode: "
2025-07-01T14:09:50.2949089Z,"2025-07-01 14:09:50,294 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: default | Search Mode: "
2025-07-01T14:11:03.8887293Z,"2025-07-01 14:11:03,888 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-01T14:11:38.169835Z,"2025-07-01 14:11:38,162 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-07-01T14:18:51.9892085Z,"2025-07-01 14:18:51,949 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: default | Search Mode: internet"
2025-07-01T14:44:13.9714772Z,"2025-07-01 14:44:13,932 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T14:52:44.4116419Z,"2025-07-01 14:52:44,410 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T14:57:32.5521335Z,"2025-07-01 14:57:32,546 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T14:58:57.5819955Z,"2025-07-01 14:58:57,571 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T14:59:16.9777949Z,"2025-07-01 14:59:16,977 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T15:00:24.9389785Z,"2025-07-01 15:00:24,666 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T15:01:22.0728373Z,"2025-07-01 15:01:22,062 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-01T15:02:31.137382Z,"2025-07-01 15:02:31,134 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T15:03:59.8665759Z,"2025-07-01 15:03:59,862 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T15:09:16.2549485Z,"2025-07-01 15:09:16,254 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T15:10:34.4039595Z,"2025-07-01 15:10:34,400 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T15:11:37.0077283Z,"2025-07-01 15:11:37,006 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-01T15:29:44.5054577Z,"2025-07-01 15:29:44,475 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: default | Search Mode: internet"
2025-07-01T16:51:12.9993108Z,"2025-07-01 16:51:12,972 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T05:32:21.1648858Z,"2025-07-02 05:32:20,885 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
